14:43:51.397 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.internalCachingMetadataReaderFactory'
14:43:51.452 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\general\config\Slf4jMDCFilterConfiguration.class]
14:43:51.457 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\general\controller\MainController.class]
14:43:51.469 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\product\exception\ProductExceptionHandler.class]
14:43:51.474 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Ignored because not a concrete top-level class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\product\repository\ProductRepository.class]
14:43:51.478 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\product\service\impl\ProductServiceImpl.class]
14:43:51.490 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\security\config\SecurityConfig$ApiWebSecurityConfigurerAdapter.class]
14:43:51.492 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\security\config\SecurityConfig$UiWebSecurityConfigurerAdapter.class]
14:43:51.493 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\security\config\SecurityConfig.class]
14:43:51.498 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\security\exception\SecurityExceptionHandler.class]
14:43:51.504 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathBeanDefinitionScanner - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\security\service\impl\UserServiceImpl.class]
14:43:51.847 | DEBUG | traceId  | session  | user  | o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
14:43:51.938 | DEBUG | traceId  | session  | user  | o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.jmx.enabled' in PropertySource 'configurationProperties' with value of type String
14:43:51.940 | DEBUG | traceId  | session  | user  | o.s.c.e.PropertySourcesPropertyResolver - Found key 'spring.datasource.url' in PropertySource 'configurationProperties' with value of type String
14:43:52.367 | INFO  | traceId  | session  | user  | o.s.d.r.c.RepositoryConfigurationDelegate - Bootstrapping Spring Data JPA repositories in DEFERRED mode.
14:43:52.381 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.AutoConfigurationPackages'
14:43:52.389 | DEBUG | traceId  | session  | user  | o.s.b.a.AutoConfigurationPackages - @EnableAutoConfiguration was declared on a class in the package 'ru.sberdyshev.geekbrains.java.javaspringsecond'. Automatic @Repository and @Entity scanning is enabled.
14:43:52.390 | DEBUG | traceId  | session  | user  | o.s.d.r.c.RepositoryConfigurationDelegate - Scanning for JPA repositories in packages ru.sberdyshev.geekbrains.java.javaspringsecond.
14:43:52.404 | DEBUG | traceId  | session  | user  | o.s.d.r.c.RepositoryComponentProvider - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\product\repository\ProductRepository.class]
14:43:52.407 | DEBUG | traceId  | session  | user  | o.s.d.r.c.RepositoryComponentProvider - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\security\repository\RoleRepository.class]
14:43:52.407 | DEBUG | traceId  | session  | user  | o.s.d.r.c.RepositoryComponentProvider - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\security\repository\UserRepository.class]
14:43:52.447 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\product\service\impl\ProductServiceImpl.class]
14:43:52.447 | DEBUG | traceId  | session  | user  | o.s.c.a.ClassPathScanningCandidateComponentProvider - Identified candidate component class: file [C:\!Education\GeekBrains\Java\Четверть 3\JavaSpringSecond\git\java-spring-second\target\classes\ru\sberdyshev\geekbrains\java\javaspringsecond\security\service\impl\UserServiceImpl.class]
14:43:52.461 | DEBUG | traceId  | session  | user  | o.s.d.r.c.RepositoryConfigurationDelegate - Registering deferred repository initialization listener.
14:43:52.462 | INFO  | traceId  | session  | user  | o.s.d.r.c.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 71ms. Found 3 JPA repository interfaces.
14:43:52.714 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'propertySourcesPlaceholderConfigurer'
14:43:52.719 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor'
14:43:52.721 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBeanDefinitionValidator'
14:43:52.722 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'emBeanDefinitionRegistrarPostProcessor'
14:43:52.722 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration$LiquibaseEntityManagerFactoryDependsOnPostProcessor'
14:43:52.723 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration$LiquibaseJdbcOperationsDependsOnPostProcessor'
14:43:52.723 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.autoconfigure.liquibase.LiquibaseAutoConfiguration$LiquibaseNamedParameterJdbcOperationsDependsOnPostProcessor'
14:43:52.853 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerProcessor'
14:43:52.854 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'conversionServicePostProcessor'
14:43:52.855 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'preserveErrorControllerTargetClassPostProcessor'
14:43:52.856 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.event.internalEventListenerFactory'
14:43:52.856 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.transaction.config.internalTransactionalEventListenerFactory'
14:43:52.864 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.test.mock.mockito.MockitoPostProcessor$SpyPostProcessor'
14:43:52.866 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalAutowiredAnnotationProcessor'
14:43:52.866 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalCommonAnnotationProcessor'
14:43:52.871 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.context.annotation.internalPersistenceAnnotationProcessor'
14:43:52.872 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.properties.ConfigurationPropertiesBindingPostProcessor'
14:43:52.872 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinder'
14:43:52.872 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.boot.context.internalConfigurationPropertiesBinderFactory'
14:43:52.875 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'org.springframework.aop.config.internalAutoProxyCreator'
14:43:52.910 | DEBUG | traceId  | session  | user  | o.s.b.f.s.DefaultListableBeanFactory - Creating shared instance of singleton bean 'dataSourceInitializerPostProcessor'
